match_number,date,kickoff_utc,stage,group,home_team,away_team,stadium,host_city,match_url
71,6/27/2026,2026-06-27T23:30:00Z,group-stage,K,Colombia,Portugal,Hard Rock Stadium,miami,https://www.thestatsapi.com/world-cup/matches/colombia-vs-portugal-2026-06-27
72,6/27/2026,2026-06-27T23:30:00Z,group-stage,K,Congo DR,Uzbekistan,Mercedes-Benz Stadium,atlanta,https://www.thestatsapi.com/world-cup/matches/congo-dr-vs-uzbekistan-2026-06-27
73,6/28/2026,2026-06-28T19:00:00Z,round-of-32,,South Africa,Canada,SoFi Stadium,los-angeles,https://www.thestatsapi.com/world-cup/matches/group-a-runners-up-vs-group-b-runners-up-2026-06-28
74,6/29/2026,2026-06-29T20:30:00Z,round-of-32,,Germany,Paraguay,Gillette Stadium,boston,https://www.thestatsapi.com/world-cup/matches/group-e-winners-vs-group-a-b-c-d-f-third-place-2026-06-29
75,6/29/2026,2026-06-30T01:00:00Z,round-of-32,,Netherlands,Morocco,Estadio BBVA,monterrey,https://www.thestatsapi.com/world-cup/matches/group-f-winners-vs-group-c-runners-up-2026-06-29
76,6/29/2026,2026-06-29T17:00:00Z,round-of-32,,Brazil,Japan,NRG Stadium,houston,https://www.thestatsapi.com/world-cup/matches/group-c-winners-vs-group-f-runners-up-2026-06-29
77,6/30/2026,2026-06-30T21:00:00Z,round-of-32,,France,Sweden,MetLife Stadium,new-york,https://www.thestatsapi.com/world-cup/matches/group-i-winners-vs-group-c-d-f-g-h-third-place-2026-06-30
78,6/30/2026,2026-06-30T17:00:00Z,round-of-32,,Cote d'Ivoire,Norway,AT&T Stadium,dallas,https://www.thestatsapi.com/world-cup/matches/group-e-runners-up-vs-group-i-runners-up-2026-06-30
79,6/30/2026,2026-07-01T01:00:00Z,round-of-32,,Mexico,Ecuador,Estadio Azteca,mexico-city,https://www.thestatsapi.com/world-cup/matches/group-a-winners-vs-group-c-e-f-h-i-third-place-2026-06-30
80,7/1/2026,2026-07-01T16:00:00Z,round-of-32,,England,Congo DR,Mercedes-Benz Stadium,atlanta,https://www.thestatsapi.com/world-cup/matches/group-l-winners-vs-group-e-h-i-j-k-third-place-2026-07-01
81,7/1/2026,2026-07-02T00:00:00Z,round-of-32,,United States,Bosnia and Herzegovina,Levi's Stadium,san-francisco,https://www.thestatsapi.com/world-cup/matches/group-d-winners-vs-group-b-e-f-i-j-third-place-2026-07-01
82,7/1/2026,2026-07-01T20:00:00Z,round-of-32,,Belgium,Senegal,Lumen Field,seattle,https://www.thestatsapi.com/world-cup/matches/group-g-winners-vs-group-a-e-h-i-j-third-place-2026-07-01
83,7/2/2026,2026-07-02T23:00:00Z,round-of-32,,Portugal,Croatia,BMO Field,toronto,https://www.thestatsapi.com/world-cup/matches/group-k-runners-up-vs-group-l-runners-up-2026-07-02
84,7/2/2026,2026-07-02T19:00:00Z,round-of-32,,Spain,Austria,SoFi Stadium,los-angeles,https://www.thestatsapi.com/world-cup/matches/group-h-winners-vs-group-j-runners-up-2026-07-02
85,7/2/2026,2026-07-03T03:00:00Z,round-of-32,,Switzerland,Algeria,BC Place,vancouver,https://www.thestatsapi.com/world-cup/matches/group-b-winners-vs-group-e-f-g-i-j-third-place-2026-07-02
86,7/3/2026,2026-07-03T22:00:00Z,round-of-32,,Argentina,Cabo Verde,Hard Rock Stadium,miami,https://www.thestatsapi.com/world-cup/matches/group-j-winners-vs-group-h-runners-up-2026-07-03
87,7/3/2026,2026-07-04T01:30:00Z,round-of-32,,Colombia,Ghana,Arrowhead Stadium,kansas-city,https://www.thestatsapi.com/world-cup/matches/group-k-winners-vs-group-d-e-i-j-l-third-place-2026-07-03
88,7/3/2026,2026-07-03T18:00:00Z,round-of-32,,Australia,Egypt,AT&T Stadium,dallas,https://www.thestatsapi.com/world-cup/matches/group-d-runners-up-vs-group-g-runners-up-2026-07-03
89,7/4/2026,2026-07-04T21:00:00Z,round-of-16,,Paraguay,France,Lincoln Financial Field,philadelphia,https://www.thestatsapi.com/world-cup/matches/winner-match-74-vs-winner-match-77-2026-07-04
90,7/4/2026,2026-07-04T17:00:00Z,round-of-16,,Canada,Morocco,NRG Stadium,houston,https://www.thestatsapi.com/world-cup/matches/winner-match-73-vs-winner-match-75-2026-07-04
91,7/5/2026,2026-07-05T20:00:00Z,round-of-16,,Brazil,Norway,MetLife Stadium,new-york,https://www.thestatsapi.com/world-cup/matches/winner-match-76-vs-winner-match-78-2026-07-05
92,7/5/2026,2026-07-06T00:00:00Z,round-of-16,,Mexico,England,Estadio Azteca,mexico-city,https://www.thestatsapi.com/world-cup/matches/winner-match-79-vs-winner-match-80-2026-07-05
93,7/6/2026,2026-07-06T19:00:00Z,round-of-16,,Portugal,Spain,AT&T Stadium,dallas,https://www.thestatsapi.com/world-cup/matches/winner-match-83-vs-winner-match-84-2026-07-06
